vrefdes,vpin,refdes,pin
VCOMP56,1,U19,2
VCOMP57,0,J19,2
VCOMP57,1,J19,1
VCOMP58,0,J21,2
VCOMP58,1,J21,1
VCOMP59,0,U10,4
VCOMP59,1,U10,6
VCOMP59,2,U10,3
VCOMP60,0,MD1,2
VCOMP60,1,MD1,pdna_pin_39_1
VCOMP60,2,MD1,pdna_pin_39_2
VCOMP60,3,MD1,pdna_pin_39_3
VCOMP60,4,MD1,pdna_pin_39_4
VCOMP60,5,MD1,pdna_pin_39_5
VCOMP60,6,MD1,pdna_pin_39_6
VCOMP60,7,MD1,pdna_pin_39_7
VCOMP60,8,MD1,pdna_pin_39_8
VCOMP60,9,MD1,pdna_pin_39_9
VCOMP60,10,MD1,15
VCOMP60,11,MD1,38
VCOMP60,12,MD1,1
VCOMP61,0,U15,14
VCOMP61,1,U15,1
VCOMP61,2,U15,4
VCOMP61,3,U15,7
VCOMP61,4,U15,13
VCOMP61,5,U15,10
VCOMP62,0,U16,14
VCOMP62,1,U16,1
VCOMP62,2,U16,4
VCOMP62,3,U16,7
VCOMP62,4,U16,13
VCOMP62,5,U16,10
VCOMP63,0,U14,16
VCOMP63,1,U14,3
VCOMP63,2,U14,2
VCOMP63,3,U14,1
VCOMP63,4,U14,8
VCOMP64,0,U13,16
VCOMP64,1,U13,1
VCOMP65,0,U19,6
VCOMP65,1,U19,2
VCOMP66,0,L2,2
VCOMP66,1,J1,1
VCOMP67,0,R19,1
VCOMP67,1,J1,1
VCOMP68,0,U8,20
VCOMP68,1,U8,19
VCOMP68,2,U8,18
VCOMP68,3,U8,21
VCOMP68,4,U8,10
VCOMP68,5,U8,15
VCOMP68,6,U8,13
VCOMP68,7,U8,11
VCOMP69,0,L2,1
VCOMP69,1,J1,1
VCOMP70,0,U11,20
VCOMP70,1,U11,19
VCOMP70,2,U11,18
VCOMP70,3,U11,21
VCOMP70,4,U11,10
VCOMP70,5,U11,15
VCOMP70,6,U11,13
VCOMP70,7,U11,11
VCOMP71,0,L3,1
VCOMP71,1,J1,1
VCOMP72,0,L3,2
VCOMP72,1,J1,1
VCOMP73,0,R33,1
VCOMP73,1,J1,1
VCOMP74,0,U10,5
VCOMP74,1,U10,6
VCOMP74,2,U10,3
VCOMP75,0,C41,1
VCOMP75,1,U10,6
VCOMP75,2,U10,3
