refdes,pin,voltage,current,rpin
VCOMP16,VCOMP16-1,24.9118,-0.999512,0.125
VCOMP16,VCOMP16-2,24.9118,-0.999512,0.125
VCOMP16,VCOMP16-3,0.013615,0.6,0.125
VCOMP16,VCOMP16-4,0.013615,0.6,0.125
VCOMP16,VCOMP16-5,0.013615,0.6,0.125
VCOMP16,VCOMP16-6,0.013615,0.6,0.125
VCOMP16,VCOMP16-7,0.013615,0.6,0.125
VCOMP17,VCOMP17-0,24.9636,-0.732936,0.171429
VCOMP17,VCOMP17-1,24.9513,-0.661427,0.171429
VCOMP17,VCOMP17-2,24.9641,-0.735812,0.171429
VCOMP17,VCOMP17-3,24.9639,-0.734857,0.171429
VCOMP17,VCOMP17-4,24.9639,-0.734857,0.171429
VCOMP17,VCOMP17-5,24.9636,-0.733219,0.171429
VCOMP17,VCOMP17-6,24.9639,-0.735052,0.171429
VCOMP17,VCOMP17-7,24.9638,-0.734082,0.171429
VCOMP17,VCOMP17-8,24.9635,-0.732494,0.171429
VCOMP17,VCOMP17-9,24.9633,-0.731342,0.171429
VCOMP17,VCOMP17-10,0,0,0.171429
VCOMP17,VCOMP17-11,24.9637,-0.733902,0.171429
VCOMP17,VCOMP17-12,0.0130034,0.499999,0.171429
VCOMP17,VCOMP17-13,0.0130034,0.499999,0.171429
VCOMP17,VCOMP17-14,0.0130034,0.499999,0.171429
VCOMP17,VCOMP17-15,0.0130034,0.499999,0.171429
VCOMP17,VCOMP17-16,0.0130034,0.499999,0.171429
VCOMP17,VCOMP17-17,0.0130034,0.499999,0.171429
VCOMP17,VCOMP17-18,0.0130034,0.499999,0.171429
VCOMP17,VCOMP17-19,0.0130034,0.499999,0.171429
VCOMP17,VCOMP17-20,0.0130034,0.499999,0.171429
VCOMP17,VCOMP17-21,0.0130034,0.499999,0.171429
VCOMP17,VCOMP17-22,0.0130034,0.499999,0.171429
VCOMP17,VCOMP17-23,0.0130034,0.499999,0.171429
VCOMP17,VCOMP17-24,0.0130034,0.499999,0.171429
VCOMP17,VCOMP17-25,0.0130034,0.499999,0.171429
VCOMP17,VCOMP17-26,0.0130034,0.499999,0.171429
VCOMP17,VCOMP17-27,0.0130034,0.499999,0.171429
VCOMP18,VCOMP18-0,24.861,-50,0.002
VCOMP18,VCOMP18-1,0,50,0.002
VCOMP19,VCOMP19-0,24.8636,-50,0.002
VCOMP19,VCOMP19-1,0,50,0.002
VCOMP20,VCOMP20-0,24.8933,-2.00092,0.0625
VCOMP20,VCOMP20-1,24.8933,-2.00092,0.0625
VCOMP20,VCOMP20-2,24.8931,-1.99815,0.0625
VCOMP20,VCOMP20-3,0.0123648,1.2,0.0625
VCOMP20,VCOMP20-4,0.0123648,1.2,0.0625
VCOMP20,VCOMP20-5,0.0123648,1.2,0.0625
VCOMP20,VCOMP20-6,0.0123648,1.2,0.0625
VCOMP20,VCOMP20-7,0.0123648,1.2,0.0625
VCOMP22,VCOMP22-0,12.0095,-0.5,0.2
VCOMP22,VCOMP22-1,0.0155973,0.5,0.2
VCOMP23,VCOMP23-0,12.0094,-0.5,0.2
VCOMP23,VCOMP23-1,0.0155815,0.5,0.2
VCOMP24,VCOMP24-0,11.8485,-1,0.1
VCOMP24,VCOMP24-1,0.0143337,1,0.1
VCOMP25,VCOMP25-0,11.8479,-1,0.1
VCOMP25,VCOMP25-1,0.0142922,1,0.1
VCOMP27,VCOMP27-0,25.1364,-50,0.002
VCOMP27,VCOMP27-1,0.0158017,50,0.002
VCOMP29,VCOMP29-0,25.1112,-50,0.002
VCOMP29,VCOMP29-1,0.0157825,50,0.002
VCOMP31,VCOMP31-0,25.127,-50,0.003
VCOMP31,VCOMP31-1,0.0164264,16.6667,0.003
VCOMP31,VCOMP31-2,0.0164264,16.6667,0.003
VCOMP31,VCOMP31-3,0.0164264,16.6667,0.003
VCOMP33,VCOMP33-0,25.1404,-50,0.003
VCOMP33,VCOMP33-1,0.0160715,16.6667,0.003
VCOMP33,VCOMP33-2,0.0160715,16.6667,0.003
VCOMP33,VCOMP33-3,0.0160715,16.6667,0.003
VCOMP35,VCOMP35-0,25.1282,-25.8848,0.00266667
VCOMP35,VCOMP35-1,25.1235,-24.1152,0.00266667
VCOMP35,VCOMP35-2,0,50,0.00266667
VCOMP37,VCOMP37-0,25.1236,-24.1306,0.00266667
VCOMP37,VCOMP37-1,25.1282,-25.8693,0.00266667
VCOMP37,VCOMP37-2,0,50,0.00266667
VCOMP39,VCOMP39-0,4.99843,-10,0.01
VCOMP39,VCOMP39-1,0,10,0.01
VCOMP41,VCOMP41-0,4.98397,-10,0.01
VCOMP41,VCOMP41-1,0,10,0.01
VCOMP43,VCOMP43-0,4.94324,-1,0.1
VCOMP43,VCOMP43-1,0.0141082,1,0.1
VCOMP44,VCOMP44-0,4.94087,-1,0.1
VCOMP44,VCOMP44-1,0.0139814,1,0.1
VCOMP45,VCOMP45-0,4.59828,-3,0.0333333
VCOMP45,VCOMP45-1,0.0156004,3,0.0333333
VCOMP46,VCOMP46-0,4.36081,-1.49415,0.0666667
VCOMP46,VCOMP46-1,4.36159,-1.50584,0.0666667
VCOMP46,VCOMP46-2,0.016085,1.5,0.0666667
VCOMP46,VCOMP46-3,0.016085,1.5,0.0666667
VCOMP47,VCOMP47-0,4.57468,-1.5,0.0666667
VCOMP47,VCOMP47-1,0.0144498,1.5,0.0666667
VCOMP49,VCOMP49-0,5.00092,-1,0.1
VCOMP49,VCOMP49-1,0.0141742,1,0.1
VCOMP51,VCOMP51-0,5.00059,-1,0.1
VCOMP51,VCOMP51-1,0.0143703,1,0.1
VCOMP53,VCOMP53-0,5.00439,-3,0.0333333
VCOMP53,VCOMP53-1,0.0162073,3,0.0333333
VCOMP55,VCOMP55-0,4.96235,-3,0.0583333
VCOMP55,VCOMP55-1,0.0156906,0.427804,0.0583333
VCOMP55,VCOMP55-2,0.0156151,0.429098,0.0583333
VCOMP55,VCOMP55-3,0.0155145,0.430823,0.0583333
VCOMP55,VCOMP55-4,0.0156088,0.429206,0.0583333
VCOMP55,VCOMP55-5,0.015817,0.425637,0.0583333
VCOMP55,VCOMP55-6,0.015611,0.429167,0.0583333
VCOMP55,VCOMP55-7,0.0156635,0.428268,0.0583333
VCOMP57,VCOMP57-0,3.29702,-0.5,0.2
VCOMP57,VCOMP57-1,0.0150995,0.5,0.2
VCOMP58,VCOMP58-0,3.29974,-0.5,0.2
VCOMP58,VCOMP58-1,0.0148851,0.5,0.2
