x,y,layer1,layer2,voltage1,voltage2,current
89.6365,2536.35,INNER_2,BOTTOM_LAYER,25.1564,25.1564,0.00555856
89.6365,2654.46,TOP_LAYER,INNER_1,25.1567,25.1567,0.00849401
89.6365,2654.46,INNER_1,INNER_2,25.1567,25.1567,0.00849401
89.6365,2654.46,INNER_2,BOTTOM_LAYER,25.1567,25.1567,0.00849401
89.6365,2890.68,TOP_LAYER,INNER_1,0.0164068,0.0164065,0.00598418
89.6365,2890.68,INNER_1,INNER_2,0.0164065,0.0164056,0.0028608
89.6365,2890.68,INNER_2,BOTTOM_LAYER,0.0164056,0.0164057,-0.00160494
89.6365,3008.79,TOP_LAYER,INNER_1,0.0164045,0.0164042,0.00505922
89.6365,3008.79,INNER_1,INNER_2,0.0164042,0.0164032,0.00341998
89.6365,3008.79,INNER_2,BOTTOM_LAYER,0.0164032,0.0164033,-0.000854611
89.6365,3126.9,TOP_LAYER,INNER_1,0.0163966,0.0163962,0.00601531
89.6365,3126.9,INNER_1,INNER_2,0.0163962,0.0163949,0.00432439
89.6365,3126.9,INNER_2,BOTTOM_LAYER,0.0163949,0.0163951,-0.00355402
89.6365,3245.01,TOP_LAYER,INNER_1,0.0163815,0.0163811,0.0066881
89.6365,3245.01,INNER_1,INNER_2,0.0163811,0.0163795,0.0050497
89.6365,3245.01,INNER_2,BOTTOM_LAYER,0.0163795,0.01638,-0.00722076
89.6365,3363.12,TOP_LAYER,INNER_1,0.0163586,0.0163582,0.00674917
89.6365,3363.12,INNER_1,INNER_2,0.0163582,0.0163565,0.00556132
89.6365,3363.12,INNER_2,BOTTOM_LAYER,0.0163565,0.0163571,-0.0111851
89.6365,3481.23,TOP_LAYER,INNER_1,0.0163282,0.0163279,0.00617019
89.6365,3481.23,INNER_1,INNER_2,0.0163279,0.0163261,0.00592063
89.6365,3481.23,INNER_2,BOTTOM_LAYER,0.0163261,0.0163269,-0.014598
89.6365,3599.34,TOP_LAYER,INNER_1,0.0162922,0.0162919,0.00502093
89.6365,3599.34,INNER_1,INNER_2,0.0162919,0.0162901,0.00579626
89.6365,3599.34,INNER_2,BOTTOM_LAYER,0.0162901,0.0162911,-0.0166374
89.6365,3717.45,TOP_LAYER,INNER_1,0.0162534,0.0162529,0.00904378
